team,decimal_odds
Spain,5.5
France,5.75
England,8.0
Portugal,9.5
Argentina,10.0
Brazil,10.5
Germany,15.0
Netherlands,21.0
Norway,36.0
Belgium,41.0
Colombia,41.0
Morocco,51.0
United States,61.0
Switzerland,66.0
Uruguay,66.0
Japan,66.0
Mexico,81.0
Ecuador,81.0
Turkey,91.0
Croatia,91.0
Senegal,91.0
Sweden,121.0
Austria,151.0
Canada,201.0
Scotland,201.0
Ivory Coast,251.0
Czech Republic,251.0
Paraguay,301.0
Egypt,301.0
Ghana,301.0
Algeria,351.0
South Korea,401.0
Bosnia and Herzegovina,501.0
Tunisia,501.0
Australia,601.0
Iran,701.0
DR Congo,1001.0
Saudi Arabia,1001.0
South Africa,1001.0
Panama,1001.0
Cape Verde,1001.0
Qatar,1501.0
Uzbekistan,1501.0
New Zealand,1501.0
Iraq,1501.0
Jordan,2501.0
Curaçao,2501.0
Haiti,2501.0
