team,p_group_top2,p_r32,p_r16,p_qf,p_sf,p_final,p_champion,p_champion_blended
Argentina,0.93036,0.98444,0.94178,0.5182,0.35448,0.25708,0.19662,0.144308594976226
Spain,0.98244,0.9971,0.96536,0.47128,0.30964,0.21786,0.16384,0.17083022943913895
France,0.80586,0.9319,0.84056,0.4698,0.16222,0.09098,0.0575,0.09413773663674249
Brazil,0.84402,0.9648,0.81518,0.46188,0.24962,0.09288,0.05532,0.0702824637948508
Portugal,0.80168,0.91098,0.69168,0.40368,0.23216,0.12362,0.0524,0.07135978835490148
England,0.9194,0.97672,0.84434,0.44884,0.15488,0.0864,0.05216,0.07690279851531351
Colombia,0.79738,0.91146,0.7374,0.39728,0.2168,0.0764,0.04468,0.03385372583647208
Japan,0.8105,0.9271,0.60884,0.3539,0.20834,0.11524,0.0441,0.02712960190538866
Norway,0.69268,0.87668,0.63672,0.36002,0.20316,0.11412,0.04368,0.03545000402494285
Ecuador,0.7811,0.96346,0.72402,0.40836,0.2113,0.07554,0.0423,0.024180535328669647
Netherlands,0.81376,0.92964,0.63158,0.37394,0.19958,0.11328,0.04124,0.043774737084469856
Germany,0.8308,0.98036,0.76858,0.42544,0.2143,0.07148,0.03948,0.04972368774009053
Morocco,0.7425,0.92198,0.59322,0.32396,0.17982,0.09806,0.03588,0.027199393962429253
Belgium,0.84298,0.94162,0.54484,0.30076,0.1573,0.07848,0.02602,0.02514567181013549
Switzerland,0.90916,0.9841,0.5839,0.29574,0.1568,0.0769,0.02348,0.019181658190204
Turkey,0.67822,0.8347,0.5265,0.24614,0.11358,0.05416,0.01564,0.013275734337364719
Croatia,0.79442,0.91608,0.4487,0.22134,0.09998,0.04376,0.01238,0.011674134588088277
Mexico,0.79274,0.92096,0.44826,0.21286,0.0952,0.04082,0.0113,0.011699622614052038
Uruguay,0.79694,0.90512,0.387,0.18276,0.08212,0.03494,0.00928,0.011512074296083842
Austria,0.5396,0.78054,0.32264,0.15296,0.06868,0.02844,0.00784,0.007229881448447359
Paraguay,0.56164,0.75304,0.30872,0.132,0.0589,0.02332,0.00552,0.0043702727028286205
Senegal,0.41694,0.6962,0.2706,0.11916,0.05072,0.0195,0.0051,0.0071679000055079704
Canada,0.78854,0.93714,0.32528,0.1289,0.05004,0.01814,0.00448,0.004672632762060478
Algeria,0.44078,0.7114,0.24634,0.09784,0.03854,0.0151,0.00316,0.0030007973033802414
Australia,0.4583,0.66592,0.20326,0.07414,0.0254,0.0089,0.00184,0.0017496583676331274
Iran,0.58052,0.78536,0.22498,0.07492,0.02442,0.00846,0.00156,0.0014908789704191161
Scotland,0.36362,0.71306,0.1941,0.06472,0.0199,0.00562,0.00112,0.0021798602621690916
Ivory Coast,0.37496,0.79902,0.2082,0.06824,0.01964,0.0039,0.00084,0.0016838267340251371
South Korea,0.54928,0.76884,0.17742,0.05334,0.0132,0.0029,0.00054,0.001069543784109059
Egypt,0.42586,0.6653,0.12908,0.03172,0.0067,0.0009,0.00024,0.0007790372564911982
United States,0.30184,0.4832,0.09524,0.02474,0.00562,0.00102,0.00018,0.0013639499049945608
Czech Republic,0.49304,0.72582,0.1368,0.0335,0.0074,0.0007,0.00014,0.0006285129245247324
Sweden,0.24418,0.48694,0.07732,0.01722,0.00296,0.0003,6e-05,0.0005476798198108535
Tunisia,0.13156,0.30838,0.03112,0.00382,0.00032,4e-05,4e-05,0.00023120806891676495
Uzbekistan,0.18454,0.36542,0.05886,0.01276,0.00206,0.00026,2e-05,9.638116110468189e-05
DR Congo,0.2164,0.42578,0.07104,0.01558,0.00284,0.00042,2e-05,0.00011565599003397756
Haiti,0.04986,0.1295,0.0058,0.00024,6e-05,0.0,0.0,7.390023280905277e-09
South Africa,0.16494,0.3249,0.01208,0.0005,4e-05,0.0,0.0,1.1158392479068091e-08
Bosnia and Herzegovina,0.26216,0.61958,0.04302,0.00468,0.00028,2e-05,0.0,1.5235965872480127e-08
Qatar,0.04014,0.11648,0.00108,6e-05,0.0,0.0,0.0,9.298773222886084e-09
Saudi Arabia,0.12288,0.30098,0.01234,0.00056,2e-05,0.0,0.0,1.1158392479068091e-08
Cape Verde,0.09774,0.23212,0.00746,0.0005,4e-05,0.0,0.0,1.1158392479068091e-08
New Zealand,0.15064,0.30102,0.01496,0.00112,2e-05,0.0,0.0,9.298773222886084e-09
Curaçao,0.01314,0.04542,0.00036,0.0,0.0,0.0,0.0,7.390023280905277e-09
Jordan,0.08926,0.1912,0.01744,0.00224,0.00024,0.0,0.0,7.390023280905277e-09
Iraq,0.08452,0.20028,0.02078,0.00274,0.00024,4e-05,0.0,9.298773222886084e-09
Ghana,0.11046,0.2878,0.01056,0.00054,4e-05,2e-05,0.0,1.9162053343439127e-08
Panama,0.17572,0.40016,0.03466,0.00508,0.0004,0.0,0.0,1.1158392479068091e-08
