match_no,stage,group,home,away,pred_home_goals,pred_away_goals,pred_result,p_home,p_draw,p_away,actual_home_goals,actual_away_goals,result_hit,score_hit
1,GROUP,A,Mexico,South Africa,1,0,1,0.608,0.268,0.124,,,,
2,GROUP,A,Mexico,South Korea,1,0,1,0.468,0.309,0.223,,,,
3,GROUP,A,Mexico,Czech Republic,1,0,1,0.5,0.283,0.217,,,,
4,GROUP,A,South Africa,South Korea,0,1,2,0.208,0.296,0.496,,,,
5,GROUP,A,South Africa,Czech Republic,0,1,2,0.218,0.276,0.506,,,,
6,GROUP,A,South Korea,Czech Republic,1,0,1,0.37,0.284,0.346,,,,
7,GROUP,B,Canada,Bosnia and Herzegovina,1,0,1,0.522,0.307,0.171,,,,
8,GROUP,B,Canada,Qatar,2,0,1,0.779,0.164,0.057,,,,
9,GROUP,B,Canada,Switzerland,0,1,2,0.247,0.311,0.442,,,,
10,GROUP,B,Bosnia and Herzegovina,Qatar,2,0,1,0.611,0.238,0.15,,,,
11,GROUP,B,Bosnia and Herzegovina,Switzerland,0,2,2,0.106,0.206,0.688,,,,
12,GROUP,B,Qatar,Switzerland,0,3,2,0.022,0.069,0.909,,,,
13,GROUP,C,Brazil,Morocco,1,0,1,0.35,0.342,0.309,,,,
14,GROUP,C,Brazil,Haiti,3,0,1,0.883,0.084,0.033,,,,
15,GROUP,C,Brazil,Scotland,2,1,1,0.603,0.22,0.177,,,,
16,GROUP,C,Morocco,Haiti,1,0,1,0.734,0.205,0.061,,,,
17,GROUP,C,Morocco,Scotland,1,0,1,0.469,0.339,0.193,,,,
18,GROUP,C,Haiti,Scotland,0,2,2,0.117,0.197,0.686,,,,
19,GROUP,D,United States,Paraguay,0,1,2,0.214,0.292,0.494,,,,
20,GROUP,D,United States,Australia,0,1,2,0.253,0.292,0.455,,,,
21,GROUP,D,United States,Turkey,1,2,2,0.219,0.238,0.543,,,,
22,GROUP,D,Paraguay,Australia,0,0,X,0.354,0.366,0.28,,,,
23,GROUP,D,Paraguay,Turkey,1,0,1,0.343,0.321,0.337,,,,
24,GROUP,D,Australia,Turkey,0,1,2,0.305,0.307,0.388,,,,
25,GROUP,E,Germany,Curaçao,4,0,1,0.957,0.035,0.008,,,,
26,GROUP,E,Germany,Ivory Coast,1,0,1,0.541,0.278,0.181,,,,
27,GROUP,E,Germany,Ecuador,0,0,X,0.299,0.367,0.334,,,,
28,GROUP,E,Curaçao,Ivory Coast,0,2,2,0.054,0.179,0.767,,,,
29,GROUP,E,Curaçao,Ecuador,0,2,2,0.02,0.13,0.849,,,,
30,GROUP,E,Ivory Coast,Ecuador,0,0,X,0.156,0.422,0.422,,,,
31,GROUP,F,Netherlands,Japan,0,1,2,0.315,0.32,0.364,,,,
32,GROUP,F,Netherlands,Sweden,2,1,1,0.684,0.178,0.139,,,,
33,GROUP,F,Netherlands,Tunisia,2,0,1,0.694,0.21,0.096,,,,
34,GROUP,F,Japan,Sweden,2,0,1,0.646,0.222,0.132,,,,
35,GROUP,F,Japan,Tunisia,1,0,1,0.639,0.267,0.093,,,,
36,GROUP,F,Sweden,Tunisia,1,0,1,0.471,0.272,0.257,,,,
37,GROUP,G,Belgium,Egypt,1,0,1,0.547,0.289,0.164,,,,
38,GROUP,G,Belgium,Iran,1,0,1,0.536,0.263,0.2,,,,
39,GROUP,G,Belgium,New Zealand,2,0,1,0.734,0.186,0.081,,,,
40,GROUP,G,Egypt,Iran,0,1,2,0.281,0.348,0.371,,,,
41,GROUP,G,Egypt,New Zealand,1,0,1,0.45,0.344,0.205,,,,
42,GROUP,G,Iran,New Zealand,1,0,1,0.546,0.28,0.174,,,,
43,GROUP,H,Spain,Cape Verde,3,0,1,0.907,0.074,0.019,,,,
44,GROUP,H,Spain,Saudi Arabia,3,0,1,0.874,0.097,0.029,,,,
45,GROUP,H,Spain,Uruguay,1,0,1,0.513,0.311,0.176,,,,
46,GROUP,H,Cape Verde,Saudi Arabia,0,1,2,0.288,0.322,0.39,,,,
47,GROUP,H,Cape Verde,Uruguay,0,1,2,0.084,0.259,0.657,,,,
48,GROUP,H,Saudi Arabia,Uruguay,0,1,2,0.105,0.288,0.607,,,,
49,GROUP,I,France,Senegal,1,0,1,0.477,0.278,0.245,,,,
50,GROUP,I,France,Iraq,2,0,1,0.711,0.211,0.078,,,,
51,GROUP,I,France,Norway,2,1,1,0.384,0.274,0.341,,,,
52,GROUP,I,Senegal,Iraq,1,0,1,0.59,0.279,0.13,,,,
53,GROUP,I,Senegal,Norway,0,1,2,0.264,0.275,0.461,,,,
54,GROUP,I,Iraq,Norway,0,2,2,0.085,0.211,0.704,,,,
55,GROUP,J,Argentina,Algeria,1,0,1,0.599,0.299,0.102,,,,
56,GROUP,J,Argentina,Austria,1,0,1,0.542,0.335,0.124,,,,
57,GROUP,J,Argentina,Jordan,2,0,1,0.857,0.117,0.025,,,,
58,GROUP,J,Algeria,Austria,0,1,2,0.288,0.33,0.382,,,,
59,GROUP,J,Algeria,Jordan,2,0,1,0.644,0.221,0.135,,,,
60,GROUP,J,Austria,Jordan,2,0,1,0.688,0.205,0.107,,,,
61,GROUP,K,Portugal,DR Congo,1,0,1,0.558,0.308,0.134,,,,
62,GROUP,K,Portugal,Uzbekistan,1,0,1,0.648,0.245,0.106,,,,
63,GROUP,K,Portugal,Colombia,2,1,1,0.38,0.275,0.344,,,,
64,GROUP,K,DR Congo,Uzbekistan,0,0,X,0.316,0.438,0.246,,,,
65,GROUP,K,DR Congo,Colombia,0,1,2,0.143,0.306,0.551,,,,
66,GROUP,K,Uzbekistan,Colombia,0,1,2,0.113,0.246,0.641,,,,
67,GROUP,L,England,Croatia,1,0,1,0.452,0.317,0.23,,,,
68,GROUP,L,England,Ghana,2,0,1,0.724,0.205,0.071,,,,
